Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
51,576270,,0.7173,,0.7866,,0.8872,,1.0249,,0.7154,,0.7289,,0.7625,,0.9005,,0.6333,,0.7917,,0.6261,,0.6204,,0.832,,0.5687,,0.9006,,0.6042,,0.6767,,0.6654,,1.0104,,0.8872,,0.6523,,0.8607,,0.642,,0.6397,,0.6587,,0.7643,,0.5532,,0.7555
52,586270,,0.7087,,0.8221,,0.8824,,0.9633,,0.7129,,0.7461,,0.7411,,0.8789,,0.6389,,0.8009,,0.6232,,0.6112,,0.8044,,0.6315,,0.9604,,0.5941,,0.6939,,0.7469,,1.0855,,0.8783,,0.6449,,0.8852,,0.6391,,0.6477,,0.6924,,0.7765,,0.5602,,0.7569
53,596269,,0.7073,,0.7689,,0.9269,,1.0055,,0.7189,,0.7891,,0.7458,,0.8422,,0.6618,,0.7791,,0.6109,,0.6095,,0.676,,1.0138,,0.9246,,0.5909,,0.6755,,1.0658,,0.853,,0.8884,,0.6396,,0.8509,,0.6457,,0.6624,,1.0657,,0.7533,,0.5628,,0.7393
54,606268,,0.7022,,0.7548,,0.9623,,1.0515,,0.7191,,1.2107,,0.7545,,0.838,,0.7879,,0.7671,,0.6049,,0.6026,,0.598,,0.9289,,0.8936,,0.5916,,0.7223,,1.2506,,0.9919,,0.8697,,0.6531,,0.8845,,0.6482,,0.6602,,1.0713,,0.7659,,0.5592,,0.745
55,616270,,0.7176,,0.7136,,1.0716,,1.0694,,0.7052,,1.0538,,0.7377,,0.8334,,1.1881,,0.7554,,0.6018,,0.5931,,0.6028,,0.8902,,0.9937,,0.5763,,0.8383,,1.2018,,0.9834,,0.8834,,0.649,,0.8926,,0.658,,0.728,,1.1142,,0.7822,,0.5773,,0.7608
56,626269,,0.7093,,0.7166,,1.1669,,1.0566,,0.7207,,1.2409,,0.7681,,0.8273,,1.0482,,0.76,,0.5969,,0.5858,,0.5912,,0.8737,,0.8628,,0.5829,,0.8147,,1.2373,,0.8159,,0.8782,,0.6488,,0.8938,,0.6501,,0.7295,,1.1998,,0.8204,,0.5514,,0.737
57,636269,,0.7122,,0.7087,,1.2853,,1.0468,,0.706,,1.1346,,0.7555,,0.8131,,0.8752,,0.7425,,0.6119,,0.5964,,0.6032,,0.8433,,0.8004,,0.5774,,0.7869,,1.2756,,0.8583,,0.8709,,0.6427,,0.8716,,0.6658,,0.7605,,1.0636,,1.0963,,0.5482,,0.7277
58,646267,,0.7075,,0.6907,,1.2215,,1.0283,,0.6832,,0.9871,,0.748,,0.7895,,0.8146,,0.7198,,0.6,,0.5893,,0.6099,,0.8114,,0.7814,,0.5643,,0.7287,,1.1513,,1.0129,,0.9023,,0.6472,,0.8983,,0.9144,,0.7568,,1.2972,,0.8191,,0.5561,,0.7539
59,656268,,0.7109,,0.6828,,1.26,,0.9659,,0.6954,,1.236,,0.7387,,0.7949,,0.8267,,0.6731,,0.6068,,0.6047,,0.6113,,0.8035,,0.8177,,0.5701,,0.7473,,1.1401,,1.0034,,0.8861,,0.6499,,0.8952,,0.77,,0.7704,,1.0324,,1.1051,,0.5658,,0.7217
60,666267,,0.7088,,0.6813,,1.3311,,0.9423,,0.7025,,1.0526,,0.7221,,0.7704,,0.8079,,0.6857,,0.6028,,0.572,,0.6201,,0.7492,,0.7879,,0.5723,,0.7309,,1.0666,,0.8378,,0.873,,0.6435,,0.9007,,0.668,,0.7405,,1.1585,,0.8158,,0.5496,,0.7393
