Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
43,447864,,33.4876,,39.625,,28.8519,,25.75,,27.25,,32.2778,,37.5,,23.3429,,40.4688,,46.0208,,46.1458,,59.2828,,48.2222,,48.2813,,29.1111,,25.875,,28.76,,29.25,,30.5918,,30.54,,28.4524,,17.5238,,14.85,,26.9286,,16.9583,,20.0556,,16.9531
44,457864,,32.8182,,39.2,,28.0741,,25.2292,,26.9107,,32.963,,38.7679,,23.9143,,39.625,,45.1458,,46.3542,,58.4343,,48.1111,,48.7344,,27.8889,,25.125,,27.04,,28.5833,,29.9796,,31.64,,26.2857,,17.6349,,15.4,,27.9643,,16.9792,,19.1944,,16.7813
45,467864,,32.6364,,40.25,,29.1852,,24.7292,,27.5179,,32.5926,,38.5357,,24.3429,,41.2031,,43.6042,,46.2083,,57.9697,,47.6032,,48.7969,,28.25,,25.9375,,29.88,,31,,30.449,,31.66,,27.6905,,18.127,,15.525,,28.3214,,17.2083,,20.4722,,16.9844
46,477864,,32.9422,,40.35,,29.0185,,25.3958,,26.9821,,33.0926,,38.5,,24,,40.5469,,44.4583,,46.1667,,58.5859,,47.7302,,48.6875,,29.2778,,25.5,,28.96,,29.4167,,30.8776,,30.92,,27.4048,,17.6508,,15.65,,28.1429,,17.4167,,20.1111,,17.625
47,487863,,32.719,,40.475,,28.3704,,25.7708,,27.0893,,33.0556,,38.9464,,24.6,,40.6563,,44,,44.4792,,58.101,,46.746,,47.5469,,29.0278,,24.875,,28.24,,29.5833,,31.5306,,32.22,,27.5476,,17.6825,,15.675,,28.0357,,17.875,,19.1667,,16.8438
48,497862,,32.5289,,40.1125,,29.1111,,24.9583,,28,,33.537,,37.5536,,23.4857,,40.3125,,43.75,,46.1458,,58.0707,,48.2698,,48.125,,28.6667,,24.875,,28.08,,29.1667,,30.3469,,32.5,,28.0476,,17.5238,,15.525,,27.6071,,17.5208,,20.8333,,16.9375
49,507862,,33.0909,,40.2125,,29.6111,,25.0417,,26.8036,,33.6111,,38.4464,,24.4,,40.5469,,43.3542,,45.3958,,59.1111,,47.7937,,48.6875,,29.0556,,26.4063,,28.96,,29.0833,,31.7959,,31.54,,27.9048,,18.2698,,15.5,,27.4286,,17.1458,,19.6389,,17.9063
50,517862,,33.3719,,39.4,,28.963,,24.875,,27.25,,32.6667,,38.7143,,24.3714,,40.4688,,43.7083,,45.3958,,58.0303,,48.2698,,48.2656,,28.4444,,25.4688,,30.24,,31.0833,,30.8163,,31.38,,27.6429,,18.6508,,16.1,,26.75,,17.375,,20.0833,,17.3906
51,527861,,32.8512,,39.3,,29.1852,,24.8542,,27.9107,,32.4444,,37.6964,,25.2571,,39.2344,,43.8333,,45.0208,,57.4545,,47.4286,,47.9531,,28.8056,,25.7188,,28.76,,31.5833,,30.7143,,32.1,,27.619,,17.6032,,15.625,,27.1786,,17.5625,,20.6667,,17.0156
52,537861,,33.0992,,39.775,,28.5556,,24.8333,,27.0357,,32.8148,,37.9107,,23.7714,,40.2031,,44.6042,,44.3542,,57.9596,,48.0476,,47.9688,,28.8056,,25.8125,,29.28,,29.9167,,30.2857,,31.48,,27.8095,,17.7619,,16.3,,27.9643,,17.375,,20.0556,,16.375
53,555358,,33.2645,,39.3875,,28.6481,,25.0208,,26.2321,,33.037,,38.0893,,23.7429,,39.8906,,44.1458,,45.4375,,57.9899,,47.2698,,46.8438,,28.4167,,26.0625,,28.44,,30.6667,,30.4694,,31.34,,28.0476,,17.9206,,15.9,,26.5,,16.8958,,20.2222,,17.125
54,565344,,33.2479,,40.575,,28.6111,,25.1667,,27.9821,,33.4444,,38.5536,,24.6286,,40.0625,,45.1042,,46.375,,58.7071,,47.9048,,48.75,,28.1111,,25.5,,29.68,,30.25,,32.0408,,32.58,,28.5476,,17.9524,,16.025,,27.75,,17.8333,,20.3056,,17.2031
55,575344,,32.6942,,40.175,,27.6481,,25.0625,,27.5893,,33.3889,,37.3393,,23.7429,,40.4375,,44.625,,45.25,,57.7475,,46.4127,,48,,28.6389,,24.8125,,27.96,,30.5833,,30.7347,,31.72,,27.881,,17.3968,,14.7,,27.7857,,16.9792,,20.0278,,16.9531
56,585344,,32.8678,,39.975,,28.1296,,25.375,,27.375,,32.4444,,39.1071,,23.6571,,40.9219,,43.5833,,44.8542,,58.9192,,48.1905,,48.3906,,29.1389,,25.9688,,28.28,,30.75,,30.9388,,31.72,,27.381,,18.3651,,15.525,,26.4286,,17.75,,20.3611,,16.9219
