Frame,Time (ms),,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity ,,Mean Intensity 
67,699797,,12.0672,,14.2652,,15.3257,,17.1057,,16.6299,,21.4111,,15.3167,,16.7086,,14.6418,,13.4091,,12.2614,,13.8323,,12.9524,,11.9185,,11.5479,,8.2957,,12.3993,,11.7525,,12.6022,,15.5099,,10.8467,,16.6348,,18.2859,,11.5027,,13.4452,,11.2892,,11.6899
68,709785,,14.024,,14.5224,,15.6165,,15.1107,,15.0771,,17.5092,,11.8953,,15.88,,14.5071,,13.0696,,13.915,,13.398,,12.5097,,12.9339,,10.7231,,8.157,,13.6402,,13.3412,,13.3948,,15.6737,,13.2525,,18.1816,,20.3569,,14.2918,,19.2684,,11.2919,,10.1587
69,719800,,14.3992,,14.1611,,14.9073,,16.9585,,16.4234,,18.7847,,13.6475,,15.7128,,14.778,,12.6899,,14.6815,,13.9812,,12.76,,13.4578,,11.2869,,8.9966,,13.4644,,13.4248,,13.5593,,15.3489,,12.6613,,18.6663,,26.8676,,11.8322,,20.8496,,12.3427,,12.7273
70,729801,,14.47,,14.7493,,15.2524,,19.4546,,16.4765,,21.2984,,12.1388,,17.2299,,14.4841,,12.7766,,14.2743,,14.4662,,13.2686,,13.2745,,11.014,,8.867,,13.6972,,12.3544,,13.7443,,15.3215,,12.6501,,19.2441,,21.0032,,11.9106,,19.3898,,12.3457,,11.626
71,739800,,14.2134,,14.8164,,15.3129,,17.3864,,16.3141,,20.188,,12.0179,,17.4445,,14.8123,,12.915,,15.0409,,14.3308,,13.1497,,14.3732,,12.4152,,9.7852,,13.2598,,12.2837,,13.6576,,15.2128,,12.4951,,19.5738,,20.3926,,10.9426,,19.4158,,15.3376,,13.5506
72,749800,,14.5909,,15.2879,,15.3859,,17.5457,,15.2131,,17.121,,15.1285,,19.1704,,14.5736,,12.9958,,15.5174,,14.2879,,13.2606,,14.2753,,11.7246,,10.2368,,13.973,,12.5727,,13.404,,15.7876,,12.5672,,22.0343,,22.0335,,12.9724,,21.3735,,11.4084,,12.7662
73,759800,,14.2893,,14.3407,,15.4955,,21.6153,,16.3124,,16.605,,13.1937,,17.1416,,14.3413,,12.8727,,14.8961,,14.2907,,12.8843,,14.3247,,12.0093,,9.7062,,13.6618,,12.6021,,13.2218,,15.1138,,13.189,,18.5181,,19.6408,,13.6715,,23.5957,,12.4075,,9.9276
74,769799,,13.8939,,14.3474,,15.8187,,16.7232,,17.2711,,18.9158,,12.5692,,18.3961,,14.2909,,12.7935,,15.4629,,14.0913,,12.907,,14.0507,,11.6634,,9.2904,,13.1737,,11.7045,,13.6181,,15.4859,,12.8643,,20.1966,,18.9489,,11.9225,,19.004,,13.3008,,12.3467
75,779799,,13.8086,,14.3572,,15.1862,,17.429,,16.5053,,18.3455,,12.8042,,18.3595,,14.4081,,12.9011,,14.5859,,14.2428,,13.051,,13.3566,,10.572,,8.8921,,12.8771,,11.904,,13.0017,,15.0662,,12.4786,,18.2857,,20.314,,15.9969,,18.593,,12.5491,,12.2027
76,800436,,13.2609,,14.1945,,14.9834,,15.7411,,15.8048,,17.7086,,13.4351,,15.8276,,14.4233,,12.8635,,18.2719,,13.5003,,12.6023,,14.2337,,10.7387,,8.8294,,12.2266,,12.2935,,12.9875,,15.194,,20.3382,,18.7079,,27.5204,,12.1773,,20.289,,13.045,,11.3999
