Genotype,Stimulant,Peak_Index,Peak_Time,Peak,Delta_Ca,Time_to_Peak,AUC,Duration,Max_Upstroke,Max_Downstroke,Repolarisation_Slope
Hom,ATP,23,296.279,1.2078,0.20779999999999998,295.472,9.467980890909091,159.99199999999996,0.021650825412706347,-0.0088,-0.002330776
Hom,ATP,23,296.279,0.9217,-0.0783,295.472,4.950359460606061,464.65700000000004,0.006483242,-0.005730573,-0.001220905
Hom,ATP,24,306.277,2.0737,1.0737,305.46999999999997,438.7676825848485,89.993,0.042985701,-0.01746,-0.011761351
Hom,ATP,22,286.278,1.5786,0.5786,285.471,18.042247315151517,109.99799999999999,0.090675338,-0.014684126,-0.006869742
Hom,ATP,22,286.278,1.8455,0.8454999999999999,285.471,25.114773709090912,139.99,0.038589294647323635,-0.014791479,-0.005601634
Hom,ATP,22,286.278,1.6754,0.6754,285.471,21.374935490909092,209.99,0.031735868,-0.012617477,-0.00406246
Hom,ATP,23,296.279,1.3814,0.38139999999999996,295.472,14.87643732121212,109.993,0.014702354,-0.013281328,-0.005860788
Hom,ATP,23,296.279,1.2466,0.24659999999999993,295.472,8.783943951515152,110.00799999999998,0.035257629,-0.011465414,-0.005013
Hom,KCl,21,276.283,0.8607,-0.1393,275.476,28.69969334848485,464.668,0.003066427,-0.003909609,-0.000481101
Hom,KCl,21,276.283,0.7814,-0.2186,275.476,25.525514904545318,464.668,0.002714571,-0.002861431,-0.000549111
Hom,KCl,25,316.277,0.9424,-0.0576,315.46999999999997,7.849614280302955,464.6580000000001,0.003420342,-0.002910582,-0.000879041
Hom,KCl,22,286.278,0.9222,-0.0778,285.471,24.41344360909079,464.663,0.003431716,-0.004328269,-0.001056871
Hom,KCl,21,276.283,0.7516,-0.2484,275.476,29.680110846969658,464.668,0.001722929,-0.002279088,-0.000457937
Hom,KCl,21,276.283,0.7189,-0.2811,275.476,51.29699516060625,464.668,0.003060306,-0.003951976,-0.000423123
Hom,KCl,22,286.278,1.3569,0.3569,285.471,106.80668277575765,209.99,0.011905952976488238,-0.006661332,-0.001403976
Hom,KCl,22,286.278,1.5432,0.5431999999999999,285.471,136.5690956515151,149.99199999999996,0.021870935,-0.0148,-0.004170266
Hom,KCl,22,286.278,1.5069,0.5068999999999999,285.471,143.5777665999998,149.99199999999996,0.021250625,-0.009270927,-0.004014914
Hom,KCl,23,296.279,1.559,0.5589999999999999,295.472,151.60485255454543,149.99699999999996,0.073816908,-0.009129087,-0.004002201
Hom,KCl,22,286.278,1.8401,0.8401000000000001,285.471,225.60860198181825,159.99199999999996,0.044792396,-0.01290129,-0.00645923
Hom,KCl,22,286.278,1.662,0.6619999999999999,285.471,213.49345866969702,199.99,0.02317189,-0.010607878,-0.004676855
