Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
53,622931,,1.8462,,2.0179,,2.2407,,2.3651,,2.2143,,1.6032,,2.1875,,2.2667,,1.875,,1.375,,1.5,,1.6122,,1.6667,,1.4375,,1.8375,,1.6286,,1.6111,,2.1429,,1.375,,1.9107,,1.3214,,1.5333,,1.8611,,1.4286,,1.7972,,1.8214,,1.5,,1.3
54,632934,,1.7596,,1.625,,1.963,,2.6032,,1.7679,,1.7778,,1.3542,,1.8667,,1.75,,1.6042,,2.0741,,2.3265,,2.375,,1.7708,,1.85,,1.6,,1.7778,,2.0238,,1.6875,,1.9643,,1.5714,,1.5,,1.9861,,1.7381,,1.7343,,2.125,,1.5476,,2.1333
55,642930,,2.0769,,1.9464,,2.0185,,2.3492,,1.6964,,1.5238,,2.0833,,2.2,,1.9286,,1.9167,,1.8889,,1.5102,,1.7292,,1.7083,,1.875,,1.7857,,1.5741,,1.2143,,1.4167,,2.0179,,2.25,,2,,2.1806,,1.6429,,1.7133,,1.5893,,2.2381,,1.6667
56,652930,,1.6635,,1.7857,,2.3519,,1.9841,,1.625,,1.4286,,2,,1.3,,1.6071,,1.6667,,1.8148,,1.551,,1.7708,,1.5833,,1.7125,,2.0571,,2.0185,,1.7143,,1.8333,,1.3929,,1.6429,,1.5,,1.9444,,1.619,,2.021,,1.7143,,1.9762,,2
57,662929,,2.0288,,1.9286,,1.7037,,2.3968,,1.6607,,1.746,,2.0417,,1.4667,,1.7143,,1.25,,1.8704,,1.5306,,1.7708,,1.5625,,1.3375,,2.3429,,1.6111,,1.3333,,1.4167,,2.1786,,2.0714,,1.6,,1.8611,,2.1905,,1.7203,,1.9107,,1.6429,,1.7667
58,672929,,1.7596,,2.0893,,2.037,,2.1905,,1.6429,,1.9048,,2.1042,,1.7333,,2,,1.6667,,1.8333,,2.0612,,1.5208,,1.5625,,1.8625,,1.4286,,2.0185,,1.8571,,2.1875,,1.6964,,1.4643,,1.5333,,1.8333,,2,,1.8112,,2.0714,,1.8333,,1.6
59,682929,,1.9519,,1.8571,,2.037,,2.127,,1.6429,,1.7937,,1.9167,,1.4,,1.8214,,2,,1.7593,,1.1429,,1.875,,1.4375,,1.6125,,1.4714,,2.1481,,1.6905,,2,,1.5714,,1.9643,,1.8333,,1.7222,,1.2619,,1.6154,,1.4464,,1.6667,,0.8333
60,692928,,1.9615,,1.8214,,2.037,,2.7302,,1.5893,,1.4127,,2.2083,,1.7333,,2.2143,,1.3542,,1.5741,,1.551,,1.75,,2.125,,1.7375,,1.5286,,2.1296,,1.5714,,2.2917,,1.9643,,1.5,,1.5667,,1.9028,,1.8571,,1.7483,,1.4643,,1.9762,,1.9667
61,702928,,1.7981,,2.0536,,1.8333,,2.4127,,2.0357,,1.8571,,1.7708,,2.2667,,2.3036,,1.4375,,1.7222,,1.5714,,1.9583,,1.7292,,1.5,,1.9429,,1.9815,,1.4524,,2.1667,,1.7857,,1.5714,,2.0667,,2.1111,,1.881,,1.9091,,1.8214,,1.9524,,1.3667
62,712928,,1.8462,,1.7321,,1.7222,,2.8254,,1.6429,,2.1746,,1.6875,,2,,1.7679,,2.0833,,1.2593,,2.2245,,1.5625,,1.7917,,1.8125,,2.1429,,1.7222,,1.6429,,1.8958,,2.0893,,2.2143,,1.7667,,1.7361,,2.0476,,1.9091,,1.7857,,1.381,,1.6667
